APP_NAME,funsafe_math_optimizations,fno_guess_branch_probability,fno_ivopts,fno_tree_loop_optimize,fno_inline_functions,funroll_all_loops,o2,execution_time_1,execution_time_2,execution_time_3,execution_time_4,execution_time_5,code_size
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,2048.65,3503.01,4876.44,6333.47,7918.32,457478
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,1705.79,3170.12,4740.89,6306.2,8317.3,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,2010.69,3125.26,4769.29,6222.98,7712.11,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,X,X,X,1985.32,3265.56,4981.74,6261.19,7930.41,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,X,X,-O2,1959.17,3049.18,4710.35,6091.49,7856.89,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,X,-funroll-all-loops,X,2188.46,3077.03,4838.48,5888.16,7448.27,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,X,-funroll-all-loops,-O2,1532.67,3273.33,4435.19,6040.74,7378.8,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,-fno-inline-functions,X,X,2001.67,3129.73,4545.79,6039.88,7543.61,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,-fno-inline-functions,X,-O2,1957.95,3220.34,4575.9,6000.37,7573.83,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,-fno-inline-functions,-funroll-all-loops,X,1891.31,3311.79,5488.7,6025.7,7562.1,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,X,-fno-inline-functions,-funroll-all-loops,-O2,1682.84,2968.41,4440.45,6015.9,7559.94,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,X,X,2061.93,4371.91,4829.43,6772.45,7613.62,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,X,-O2,1700.6,3155.43,4609.8,6123.21,7888.43,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,-funroll-all-loops,X,1773.9,3468.8,4554.8,6319.11,8262.04,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,2333.69,3172.57,4884.82,6234.82,7534.58,461606
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,X,X,2019.45,3352.69,5216.11,6233.33,7824.37,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1992.38,3246.49,4756.24,6156.51,7565.81,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,1531.4,2982.92,4651.6,6142,7804.89,461606
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,1658.75,3192.91,4909.16,6256.4,7463.94,461606
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,X,X,X,1717.89,3193.51,4589.16,6759.77,8039.81,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,X,X,-O2,2068.7,3337.48,4735.8,6321.65,7741.68,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,X,-funroll-all-loops,X,1916.01,3207.7,5943.41,6081.08,7877.18,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,X,-funroll-all-loops,-O2,1951.43,3461.69,4601.47,6376.85,7702.08,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,X,X,1927.72,3222.33,5256.31,6141.29,7727.71,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,X,-O2,1812.36,3657.52,6090.74,6426.51,7609.09,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,X,1715.11,3206.62,4709.12,6804.73,7875.76,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,-O2,1798.69,3059.91,4784.4,6339.5,7655.07,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,X,X,1890.53,3525.13,4812.05,6319.13,7902.48,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,X,-O2,1807.48,3508.97,4689.77,6112.46,7602.48,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,X,1953.69,3166.43,4630.46,6030.78,7674.21,461574
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,1805.65,3255.14,4697.84,6017.36,7814.89,461606
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,X,1705.18,3218.23,4657.4,6037.24,7585.93,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1833.63,3258.15,4801.73,6222.47,7942.61,457478
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,1541.96,3489.92,4555.95,6226.93,7551.4,461606
automotive_bitcount,-funsafe-math-optimizations,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,1647.96,2972.7,4445.07,6004.48,7593.39,461606
automotive_qsort1,X,X,X,X,X,X,X,1243.9,521.24,724.467,713.877,582.184,469741
automotive_qsort1,X,X,X,X,X,X,-O2,1405.98,563.07,759.959,849.009,611.532,469741
automotive_qsort1,X,X,X,X,X,-funroll-all-loops,X,981.049,544.23,692.678,724.569,573.964,473837
automotive_qsort1,X,X,X,X,X,-funroll-all-loops,-O2,1042.34,539.998,618.805,833.628,496.704,469773
automotive_qsort1,X,X,X,X,-fno-inline-functions,X,X,799.957,520.437,721.507,802.917,528.88,469741
automotive_qsort1,X,X,X,X,-fno-inline-functions,X,-O2,913.035,548.828,761.648,818.247,612.152,469741
automotive_qsort1,X,X,X,X,-fno-inline-functions,-funroll-all-loops,X,841.654,432.068,649.445,799.093,593.709,473837
automotive_qsort1,X,X,X,X,-fno-inline-functions,-funroll-all-loops,-O2,792.114,536.204,619.446,767.192,790.385,469773
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,X,X,X,788.055,596.181,658.813,735.799,606.771,469741
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,X,X,-O2,946.36,546.031,755.066,842.489,608.785,469741
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,X,-funroll-all-loops,X,1115.73,491.058,716.502,836.538,537.791,469741
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,854.095,439.026,609.406,679.108,590.586,469741
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,X,X,1009.12,589.06,767.598,735.535,605.204,469741
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,968.211,646.047,756.632,836.009,608.419,469741
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,779.694,537.994,765.167,834.666,602.315,469741
automotive_qsort1,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,820.587,437.195,668.477,680.247,489.329,469741
automotive_qsort1,X,X,-fno-ivopts,X,X,X,X,1340.82,524.74,647.074,810.079,584.005,469741
automotive_qsort1,X,X,-fno-ivopts,X,X,X,-O2,966.858,546.814,756.632,771.006,721.476,469741
automotive_qsort1,X,X,-fno-ivopts,X,X,-funroll-all-loops,X,880.208,520.467,721.69,695.058,580.983,473837
automotive_qsort1,X,X,-fno-ivopts,X,X,-funroll-all-loops,-O2,955.607,524.343,761.505,835.459,579.6,469741
automotive_qsort1,X,X,-fno-ivopts,X,-fno-inline-functions,X,X,754.333,426.005,646.8,808.217,474.843,469741
automotive_qsort1,X,X,-fno-ivopts,X,-fno-inline-functions,X,-O2,954.203,540.243,636.424,753.092,522.369,469741
automotive_qsort1,X,X,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,X,812.632,423.808,645.549,655.385,473.317,473837
automotive_qsort1,X,X,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,-O2,778.748,539.927,660.472,812.5,489.512,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,X,X,X,1180.53,547.028,848.043,868.693,740,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,X,X,-O2,1063.81,545.898,755.422,891.347,687.5,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,X,892.354,539.988,675.395,679.708,584.757,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,779.958,462.128,668.091,734.344,488.322,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,X,966.685,555.176,676.707,842.438,608.429,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1397.15,578.074,756.47,772.746,721.09,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,902.222,523.417,609.568,744.527,640.066,469741
automotive_qsort1,X,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,969.411,540.456,753.52,836.202,602.325,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,X,X,X,X,945.567,523.254,723.521,795.42,586.741,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,X,X,X,-O2,1015.29,536.601,716.614,827.759,912.201,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,X,X,-funroll-all-loops,X,758.433,495.026,727.681,714.65,475.891,473869
automotive_qsort1,X,-fno-guess-branch-probability,X,X,X,-funroll-all-loops,-O2,800.771,500.346,606.852,732.727,901.489,469789
automotive_qsort1,X,-fno-guess-branch-probability,X,X,-fno-inline-functions,X,X,911.285,918.783,724.965,806.966,542.938,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,X,-fno-inline-functions,X,-O2,1123.07,549.489,742.157,831.614,616.526,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,X,-fno-inline-functions,-funroll-all-loops,X,1013.96,525.187,688.365,659.698,568.624,473869
automotive_qsort1,X,-fno-guess-branch-probability,X,X,-fno-inline-functions,-funroll-all-loops,-O2,778.89,480.326,630.798,1205.07,601.847,469789
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,X,X,1379.61,536.55,742.279,831.034,668.233,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,X,-O2,1455.56,521.23,606.038,759.42,588.826,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,-funroll-all-loops,X,909.902,478.973,646.189,675.791,532.715,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,775.126,536.652,648.824,675.456,486.501,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,X,X,952.128,887.4,822.642,826.701,602.02,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1377.18,534.81,742.798,832.153,598.145,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,773.773,548.777,743.378,829.386,485.524,469741
automotive_qsort1,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,796.57,477.498,742.198,675.68,531.728,469741
